date,ticker,close,low,high,volume,variation
2023-06-02,CMT,1749.0,1700.0,1749.0,98.0,2.88
2023-06-05,CMT,1748.0,1748.0,1748.0,762.0,-0.06
2023-06-06,CMT,1700.0,1700.0,1701.0,133.0,-2.75
2023-06-07,CMT,1701.0,1700.0,1709.0,133.0,0.06
2023-06-08,CMT,1684.0,1683.0,1701.0,358.0,-1.0
2023-06-09,CMT,1701.0,1698.0,1701.0,211.0,1.01
2023-06-12,CMT,1689.0,1650.0,1689.0,251.0,-0.71
2023-06-13,CMT,1660.0,1660.0,1690.0,51.0,-1.72
2023-06-14,CMT,1700.0,1690.0,1700.0,186.0,2.41
2023-06-15,CMT,1719.0,1700.0,1730.0,360.0,1.12
2023-06-16,CMT,1734.0,1700.0,1734.0,871.0,0.87
2023-06-19,CMT,1750.0,1706.0,1750.0,537.0,0.92
2023-06-20,CMT,1800.0,1750.0,1820.0,2125.0,2.86
2023-06-21,CMT,1799.0,1766.0,1799.0,21.0,-0.06
2023-06-22,CMT,1799.0,1767.0,1799.0,174.0,0.0
2023-06-23,CMT,1800.0,1796.0,1800.0,1232.0,0.06
2023-06-26,CMT,1820.0,1820.0,1820.0,2.0,1.11
2023-06-27,CMT,1800.0,1770.0,1800.0,163.0,-1.1
2023-06-28,CMT,1800.0,1800.0,1800.0,1000.0,0.0
2023-07-03,CMT,1815.0,1768.0,1815.0,83.0,0.83
2023-07-04,CMT,1815.0,1768.0,1815.0,83.0,0.0
2023-07-05,CMT,1819.0,1816.0,1819.0,25.0,0.22
2023-07-06,CMT,1850.0,1850.0,1850.0,200.0,1.7
2023-07-07,CMT,1845.0,1800.0,1845.0,234.0,-0.27
2023-07-10,CMT,1839.0,1805.0,1839.0,52.0,-0.33
2023-07-11,CMT,1839.0,1805.0,1839.0,52.0,0.0
2023-07-12,CMT,1839.0,1805.0,1839.0,52.0,0.0
2023-07-13,CMT,1850.0,1800.0,1850.0,5086.0,0.6
2023-07-14,CMT,1855.0,1849.0,1855.0,2724.0,0.27
2023-07-17,CMT,1822.0,1822.0,1822.0,12.0,-1.78
2023-07-18,CMT,1850.0,1849.0,1850.0,5906.0,1.54
2023-07-20,CMT,1860.0,1850.0,1860.0,246.0,0.54
2023-07-21,CMT,1916.0,1852.0,1916.0,328.0,3.01
2023-07-24,CMT,1985.0,1959.0,1999.0,38.0,3.6
2023-07-25,CMT,1901.0,1900.0,1980.0,4550.0,-4.23
2023-07-26,CMT,1974.0,1974.0,1974.0,1.0,3.84
2023-07-27,CMT,1970.0,1920.0,1970.0,4017.0,-0.2
2023-07-28,CMT,2000.0,1925.0,2000.0,431.0,1.52
2023-07-31,CMT,2005.0,2005.0,2005.0,4.0,0.25
2023-08-01,CMT,2002.0,1971.0,2002.0,1211.0,-0.15
2023-08-02,CMT,2000.0,1975.0,2002.0,3527.0,-0.1
2023-08-03,CMT,2000.0,1975.0,2000.0,73.0,0.0
2023-08-04,CMT,2000.0,1976.0,2000.0,1020.0,0.0
2023-08-07,CMT,1995.0,1995.0,1995.0,3.0,-0.25
2023-08-08,CMT,1995.0,1995.0,1995.0,3.0,0.0
2023-08-09,CMT,1990.0,1980.0,1990.0,38.0,-0.25
2023-08-10,CMT,1989.0,1955.0,1989.0,13.0,-0.05
2023-08-11,CMT,1995.0,1989.0,2000.0,249.0,0.3
2023-08-15,CMT,1996.0,1966.0,1996.0,11.0,0.05
2023-08-16,CMT,1996.0,1966.0,1996.0,11.0,0.0
2023-08-17,CMT,1994.0,1994.0,1994.0,1.0,-0.1
2023-08-18,CMT,1993.0,1993.0,1993.0,400.0,-0.05
2023-08-22,CMT,1990.0,1966.0,1990.0,124.0,-0.15
2023-08-23,CMT,1989.0,1989.0,1989.0,74.0,3.06
2023-08-24,CMT,1989.0,1989.0,1989.0,74.0,0.0
2023-08-25,CMT,1980.0,1980.0,1988.0,30.0,-0.45
2023-08-28,CMT,1980.0,1980.0,1988.0,30.0,0.0
2023-08-29,CMT,1987.0,1987.0,1987.0,20.0,0.35
2023-08-30,CMT,1987.0,1987.0,1987.0,20.0,0.0
2023-08-31,CMT,1987.0,1987.0,1987.0,20.0,0.0
2023-09-01,CMT,1989.0,1922.0,1994.0,414.0,0.1
2023-09-04,CMT,1995.0,1993.0,1995.0,20.0,0.3
2023-09-05,CMT,1960.0,1960.0,1960.0,1270.0,-1.75
2023-09-06,CMT,1950.0,1950.0,1950.0,383.0,-0.51
2023-09-07,CMT,1940.0,1935.0,1940.0,2276.0,-0.51
2023-09-08,CMT,1960.0,1960.0,1960.0,5.0,1.03
2023-09-11,CMT,1931.0,1931.0,1931.0,54.0,-1.48
2023-09-12,CMT,1930.0,1930.0,1931.0,23.0,-0.05
2023-09-13,CMT,1930.0,1930.0,1960.0,279.0,0.0
2023-09-14,CMT,1955.0,1955.0,1955.0,1.0,1.3
2023-09-15,CMT,1935.0,1935.0,1935.0,120.0,-1.02
2023-09-18,CMT,1930.0,1910.0,1930.0,611.0,-0.26
2023-09-19,CMT,1959.0,1900.0,1959.0,26.0,1.5
2023-09-20,CMT,1902.0,1902.0,1902.0,57.0,-2.91
2023-09-21,CMT,1850.0,1816.0,1850.0,3947.0,-2.73
2023-09-22,CMT,1850.0,1816.0,1850.0,3947.0,0.0
2023-09-25,CMT,1850.0,1830.0,1850.0,1380.0,0.0
2023-09-26,CMT,1820.0,1820.0,1821.0,729.0,-1.62
2023-09-27,CMT,1850.0,1850.0,1850.0,1.0,1.65
2023-10-02,CMT,1900.0,1900.0,1940.0,99.0,2.7
2023-10-03,CMT,1900.0,1900.0,1900.0,4.0,0.0
2023-10-04,CMT,1870.0,1870.0,1899.0,60.0,-1.58
2023-10-05,CMT,1889.0,1889.0,1945.0,9215.0,1.02
2023-10-06,CMT,1800.0,1800.0,1870.0,8501.0,-4.71
2023-10-09,CMT,1898.0,1898.0,1898.0,1.0,5.44
2023-10-10,CMT,1898.0,1898.0,1898.0,1.0,0.0
2023-10-11,CMT,1850.0,1850.0,1850.0,3.0,-2.53
2023-10-12,CMT,1848.0,1800.0,1848.0,538.0,-0.11
2023-10-13,CMT,1750.0,1750.0,1802.0,2709.0,-5.3
2023-10-16,CMT,1808.0,1808.0,1808.0,1.0,3.31
2023-10-17,CMT,1750.0,1750.0,1750.0,66.0,-3.21
2023-10-18,CMT,1715.0,1715.0,1799.0,26.0,-2.0
2023-10-19,CMT,1750.0,1700.0,1750.0,646.0,2.04
2023-10-20,CMT,1730.0,1720.0,1730.0,1008.0,-1.14
2023-10-23,CMT,1730.0,1720.0,1730.0,68.0,0.0
2023-10-24,CMT,1700.0,1700.0,1730.0,921.0,-1.73
2023-10-25,CMT,1749.0,1702.0,1749.0,5.0,2.88
2023-10-26,CMT,1700.0,1700.0,1710.0,209.0,-2.8
2023-10-27,CMT,1747.0,1698.0,1747.0,211.0,2.76
2023-10-30,CMT,1746.0,1746.0,1746.0,1.0,-0.06
2023-10-31,CMT,1746.0,1746.0,1746.0,1.0,0.0
2023-11-01,CMT,1744.0,1744.0,1744.0,3.0,-0.11
2023-11-02,CMT,1744.0,1744.0,1744.0,3.0,0.0
2023-11-03,CMT,1701.0,1700.0,1746.0,1153.0,-2.47
2023-11-07,CMT,1701.0,1700.0,1746.0,1153.0,0.0
2023-11-08,CMT,1749.0,1747.0,1749.0,31.0,2.82
2023-11-09,CMT,1794.0,1794.0,1794.0,2.0,2.57
2023-11-10,CMT,1795.0,1795.0,1799.0,1002.0,0.06
2023-11-13,CMT,1796.0,1796.0,1796.0,2.0,0.06
2023-11-14,CMT,1617.0,1617.0,1617.0,111.0,-9.97
2023-11-15,CMT,1456.0,1456.0,1456.0,165.0,-9.96
2023-11-16,CMT,1311.0,1311.0,1351.0,11001.0,-9.96
2023-11-17,CMT,1292.0,1290.0,1389.0,1749.0,-1.45
2023-11-20,CMT,1324.0,1292.0,1332.0,13503.0,2.48
2023-11-21,CMT,1350.0,1340.0,1388.0,561.0,1.96
2023-11-22,CMT,1340.0,1316.0,1360.0,1591.0,-0.74
